Frequency_kHz,Benchmark,Francis_BEM_TS,Francis_Series_TS,Macaulay_FDTD_TS
12,-42.83,-42.83,-42.83,-42.16
14,-43.4,-43.4,-43.4,-42.74
16,-43.96,-43.96,-43.96,-43.17
18,-44.49,-44.49,-44.49,-43.6
20,-44.94,-44.94,-44.94,-43.91
22,-45.28,-45.28,-45.28,-44.19
24,-45.51,-45.51,-45.51,-44.25
26,-45.64,-45.64,-45.64,-44.54
28,-45.7,-45.7,-45.7,-44.48
30,-45.7,-45.7,-45.7,-44.78
32,-45.7,-45.7,-45.7,-44.71
34,-45.69,-45.69,-45.69,-44.86
36,-45.71,-45.71,-45.71,-44.99
38,-45.75,-45.75,-45.75,-45.1
40,-45.82,-45.82,-45.82,-45.15
42,-45.9,-45.9,-45.9,-45.49
44,-46,-46,-46,-45.4
46,-46.1,-46.1,-46.1,-45.43
48,-46.19,-46.19,-46.19,-45.29
50,-46.26,-46.26,-46.26,-45.18
52,-46.32,-46.32,-46.32,-45.01
54,-46.35,-46.35,-46.35,-44.95
56,-46.37,-46.37,-46.37,-44.87
58,-46.38,-46.38,-46.38,-44.94
60,-46.38,-46.38,-46.38,-44.92
62,-46.38,-46.38,-46.38,-45.11
64,-46.38,-46.38,-46.38,-45.3
66,-46.39,-46.39,-46.39,-45.55
68,-46.41,-46.4,-46.41,-45.59
70,-46.43,-46.43,-46.43,-45.77
72,-46.46,-46.46,-46.46,-45.89
74,-46.5,-46.49,-46.5,-45.97
76,-46.53,-46.53,-46.53,-45.82
78,-46.56,-46.56,-46.56,-45.83
80,-46.58,-46.58,-46.58,-45.66
82,-46.6,-46.6,-46.6,-45.44
84,-46.61,-46.61,-46.61,-45.36
86,-46.62,-46.62,-46.62,-45.36
88,-46.62,-46.62,-46.62,-45.19
90,-46.62,-46.62,-46.62,-45.33
92,-46.62,-46.62,-46.62,-45.28
94,-46.63,-46.62,-46.63,-45.45
96,-46.63,-46.63,-46.63,-45.46
98,-46.64,-46.64,-46.64,-45.53
100,-46.65,-46.65,-46.65,-45.68
102,-46.66,-46.66,-46.66,-45.86
104,-46.68,-46.68,-46.68,-45.97
106,-46.69,-46.69,-46.69,-46
108,-46.71,-46.7,-46.71,-46.03
110,-46.72,-46.72,-46.72,-46
112,-46.73,-46.73,-46.73,-46
114,-46.73,-46.73,-46.73,-45.82
116,-46.74,-46.73,-46.74,-45.73
118,-46.74,-46.73,-46.74,-45.59
120,-46.74,-46.73,-46.74,-45.51
122,-46.74,-46.74,-46.74,-45.53
124,-46.74,-46.74,-46.74,-45.52
126,-46.74,-46.74,-46.74,-45.33
128,-46.75,-46.75,-46.75,-45.34
130,-46.75,-46.75,-46.75,-45.34
132,-46.76,-46.76,-46.76,-45.58
134,-46.77,-46.77,-46.77,-45.76
136,-46.78,-46.77,-46.78,-45.79
138,-46.78,-46.78,-46.78,-45.92
140,-46.79,-46.79,-46.79,-45.94
142,-46.79,-46.79,-46.79,-45.89
144,-46.8,-46.8,-46.8,-45.96
146,-46.8,-46.8,-46.8,-45.94
148,-46.8,-46.8,-46.8,-45.94
150,-46.8,-46.8,-46.8,-45.83
152,-46.8,-46.8,-46.8,-45.89
154,-46.8,-46.8,-46.8,-45.58
156,-46.8,-46.8,-46.8,-45.53
158,-46.8,-46.8,-46.8,-45.52
160,-46.81,-46.81,-46.81,-45.51
162,-46.81,-46.81,-46.81,-45.45
164,-46.82,-46.81,-46.82,-45.59
166,-46.82,-46.82,-46.82,-45.59
168,-46.83,-46.82,-46.83,-45.73
170,-46.83,-46.83,-46.83,-45.81
172,-46.83,-46.83,-46.83,-45.88
174,-46.83,-46.83,-46.83,-45.89
176,-46.84,-46.83,-46.84,-46.05
178,-46.84,-46.84,-46.84,-45.94
180,-46.84,-46.84,-46.84,-45.92
182,-46.84,-46.84,-46.84,-45.93
184,-46.84,-46.84,-46.84,-45.94
186,-46.84,-46.84,-46.84,-45.81
188,-46.84,-46.84,-46.84,-45.77
190,-46.84,-46.84,-46.84,-45.64
192,-46.84,-46.84,-46.84,-45.72
194,-46.85,-46.85,-46.85,-45.58
196,-46.85,-46.85,-46.85,-45.52
198,-46.85,-46.85,-46.85,-45.55
200,-46.85,-46.85,-46.85,-45.69
202,-46.86,-46.86,-46.86,
204,-46.86,-46.86,-46.86,
206,-46.86,-46.86,-46.86,
208,-46.86,-46.86,-46.86,
210,-46.86,-46.86,-46.86,
212,-46.86,-46.86,-46.86,
214,-46.86,-46.86,-46.86,
216,-46.86,-46.86,-46.86,
218,-46.86,-46.86,-46.86,
220,-46.86,-46.86,-46.86,
222,-46.86,-46.87,-46.86,
224,-46.87,-46.87,-46.87,
226,-46.87,-46.87,-46.87,
228,-46.87,-46.87,-46.87,
230,-46.87,-46.87,-46.87,
232,-46.87,-46.87,-46.87,
234,-46.87,-46.87,-46.87,
236,-46.88,-46.88,-46.88,
238,-46.88,-46.88,-46.88,
240,-46.88,-46.88,-46.88,
242,-46.88,-46.88,-46.88,
244,-46.88,-46.88,-46.88,
246,-46.88,-46.88,-46.88,
248,-46.88,-46.88,-46.88,
250,-46.88,-46.87,-46.88,
252,-46.88,-46.88,-46.88,
254,-46.88,-46.88,-46.88,
256,-46.88,-46.88,-46.88,
258,-46.88,-46.88,-46.88,
260,-46.88,-46.88,-46.88,
262,-46.89,-46.88,-46.89,
264,-46.89,-46.89,-46.89,
266,-46.89,-46.89,-46.89,
268,-46.89,-46.89,-46.89,
270,-46.89,-46.89,-46.89,
272,-46.89,-46.89,-46.89,
274,-46.89,-46.89,-46.89,
276,-46.89,-46.89,-46.89,
278,-46.89,-46.89,-46.89,
280,-46.89,-46.89,-46.89,
282,-46.89,-46.88,-46.89,
284,-46.89,-46.89,-46.89,
286,-46.89,-46.89,-46.89,
288,-46.89,-46.89,-46.89,
290,-46.89,-46.89,-46.89,
292,-46.89,-46.89,-46.89,
294,-46.89,-46.89,-46.89,
296,-46.89,-46.89,-46.89,
298,-46.9,-46.9,-46.9,
300,-46.9,-46.9,-46.9,
302,-46.9,-46.9,-46.9,
304,-46.9,-46.9,-46.9,
306,-46.9,-46.91,-46.9,
308,-46.9,-46.91,-46.9,
310,-46.9,-46.9,-46.9,
312,-46.9,-46.89,-46.9,
314,-46.9,-46.89,-46.9,
316,-46.9,-46.89,-46.9,
318,-46.9,-46.9,-46.9,
320,-46.9,-46.9,-46.9,
322,-46.9,-46.9,-46.9,
324,-46.9,-46.9,-46.9,
326,-46.9,-46.89,-46.9,
328,-46.9,-46.89,-46.9,
330,-46.9,-46.9,-46.9,
332,-46.9,-46.91,-46.9,
334,-46.9,-46.91,-46.9,
336,-46.9,-46.91,-46.9,
338,-46.9,-46.92,-46.9,
340,-46.9,-46.9,-46.9,
342,-46.9,-46.9,-46.9,
344,-46.9,-46.9,-46.9,
346,-46.9,-46.9,-46.9,
348,-46.9,-46.9,-46.9,
350,-46.9,-46.9,-46.9,
352,-46.91,-46.9,-46.91,
354,-46.91,-46.9,-46.91,
356,-46.91,-46.9,-46.91,
358,-46.91,-46.89,-46.91,
360,-46.91,-46.9,-46.91,
362,-46.91,-46.91,-46.91,
364,-46.91,-46.91,-46.91,
366,-46.91,-46.92,-46.91,
368,-46.91,-46.92,-46.91,
370,-46.91,-46.89,-46.91,
372,-46.91,-46.9,-46.91,
374,-46.91,-46.91,-46.91,
376,-46.91,-46.91,-46.91,
378,-46.91,-46.91,-46.91,
380,-46.91,-46.91,-46.91,
382,-46.91,-46.91,-46.91,
384,-46.91,-46.91,-46.91,
386,-46.91,-46.91,-46.91,
388,-46.91,-46.92,-46.91,
390,-46.91,-46.9,-46.91,
392,-46.91,-46.9,-46.91,
394,-46.91,-46.91,-46.91,
396,-46.91,-46.92,-46.91,
398,-46.91,-46.92,-46.91,
400,-46.91,-46.91,-46.91,
